"CODIGO";"SEXO";"VALOR";"N";"N_INF";"N_SUP";"TB";"TB_INF";"TB_SUP";"TAM";"TAM_INF";"TAM_SUP";"TAE";"TAE_INF";"TAE_SUP";"TANE";"TANE_INF";"TANE_SUP";"ESCENARIO"
14;"M";"Cavidad Oral y Faringe";"2679";"2055";"3456";"29.7315767990268";"22.8064166935424";"38.3547328919136";"15.9644066166192";"12.2656879657335";"20.5712625097101";"21.7029885187484";"16.6819548735311";"27.9433065125147";"29.3947282845732";"22.5836190880349";"37.8892916913539";"A"
15;"M";"Esófago";"1871";"1587";"2201";"20.7643823034636";"17.6125466144291";"24.4267265900179";"9.88026489411101";"8.37087636272463";"11.6332758020319";"14.0015808484079";"11.8819941099406";"16.4584322907624";"20.236580123558";"17.178808644149";"23.7806481345756";"B"
16;"M";"Estómago";"4092";"3306";"5017.5125";"45.4130691532727";"36.6900309434798";"55.6844189002712";"18.4786506846634";"15.0859134944863";"22.4846679398215";"27.4452438586221";"22.4099317706965";"33.379947386872";"43.0268231190722";"34.9151767903377";"52.5631607478831";"A"
18;"M";"Cólon";"18875";"15749.4375";"22494.5375";"209.474995177913";"174.787461953237";"249.644669369107";"74.8861051250138";"63.103572444752";"88.5594481837078";"115.819538183626";"97.5996409954606";"136.939989983791";"194.651858878482";"163.1021636316";"231.243424381681";"B"
19;"M";"Recto";"6372";"5460";"7406.025";"70.7165387694656";"60.5951509229884";"82.1921616509937";"30.5165733134144";"26.2011206625857";"35.4066454488302";"45.0151276883458";"38.7058223403464";"52.1896019241132";"68.3826290280753";"58.7110010250325";"79.3470181248013";"A"
22;"M";"Hígado";"3729";"3081.9875";"4476.0125";"41.384490438063";"34.2039373086564";"49.6748448664254";"18.7275685580672";"15.5090194655638";"22.4454479948621";"27.1847953490595";"22.5417613614662";"32.5429931044065";"40.238497811219";"33.3293765728245";"48.2214030847634";"B"
23;"M";"Vesícula biliar";"885";"636";"1205";"9.82174149575912";"7.05833626135909";"13.3731056524178";"3.44122308176521";"2.50486285739765";"4.64306994674165";"5.36030398921768";"3.90405512658459";"7.22420044847408";"9.10060850857701";"6.5781301657581";"12.3259644453229";"B"
25;"M";"Páncreas";"2177.75";"1904.975";"2481";"24.1686977880106";"21.1414372947839";"27.5341702270942";"9.52120103151932";"8.33258353134313";"10.8442420639093";"14.3177992936922";"12.5543473120925";"16.2822398961803";"22.8328138651456";"20.0055119424435";"25.9736197909141";"A"
32;"M";"Laringe";"3202";"2513";"4034.525";"35.5358375925658";"27.8893066427601";"44.7752108566978";"18.5541673439589";"14.5650010561532";"23.3647321490603";"25.6752494624258";"20.1841489436536";"32.3066623431025";"35.2085857621269";"27.6801626574486";"44.3199274585176";"A"
34;"M";"Pulmón";"18044";"15257.9875";"21188.1";"200.25254638359";"169.333343469519";"235.145809024061";"76.4067863661816";"65.3670290462764";"88.9347316602408";"115.383790506276";"98.6250573497632";"134.374346671694";"187.375592746383";"159.116738169514";"219.268091743459";"A"
43;"M";"Melanoma de piel";"1669";"1359";"2041";"18.5225836795728";"15.0821996528098";"22.6510445116885";"10.6039659213539";"8.59243999620666";"13.0304536391834";"14.4179792113317";"11.7049959266001";"17.6885153086693";"18.7166171391859";"15.2439636780969";"22.8980217602787";"B"
61;"M";"Próstata";"39529.4930748081";"30486.0838153985";"50455.5998989996";"438.698827614876";"338.334954184056";"559.956903075055";"152.232739101045";"118.345330380633";"193.288828971608";"237.070568525542";"184.81183518081";"300.379005808448";"404.221693129744";"313.366689009191";"514.049932931249";"LDA"
62;"M";"Testículo";"390.376749926537";"236.394809677736";"638.699738074251";"4.33240624150626";"2.62351266846767";"7.08829798957551";"3.16652194076816";"1.89733535007757";"5.18709559892652";"3.78634456831632";"2.27145154695584";"6.20376744126478";"4.40602072791782";"2.65120611545396";"7.21477012621965";"LDA"
64;"M";"Riñón";"3200";"2707.9875";"3767.0125";"35.5136415665866";"30.0532804505616";"41.8063536568286";"16.5861685801511";"14.0120719609401";"19.5479820608919";"23.9814312711285";"20.2928181415661";"28.2273404250908";"34.8726474319618";"29.5268518165579";"41.0039655327436";"B"
67;"M";"Vejiga urinaria";"27782.25";"23085.9125";"33177.5625";"308.327771379157";"256.207756800807";"368.205019586883";"118.981751614802";"99.5519516652663";"141.269042217322";"180.686355034581";"151.314663921748";"214.33814512566";"291.429812698083";"243.130453217175";"346.872842815862";"B"
71;"M";"Encéfalo y sistema nervioso";"2087.5";"1525";"2808.525";"23.167102115703";"16.9244698090764";"31.1690469314993";"13.4484965128173";"9.7000250557656";"18.2607303128539";"18.223414060269";"13.2116715547672";"24.6555299635386";"23.5026856110087";"17.156109094091";"31.6569978079313";"A"
73;"M";"Tiroides";"295.555257872355";"228.918130765856";"374.239332271439";"3.28007609099965";"2.54053638878487";"4.15331297075204";"2.07995199941523";"1.59342441651717";"2.66049501297511";"2.62343289370552";"2.01946912693946";"3.34447720245838";"3.29561874192586";"2.55088895874548";"4.18317727847626";"LDA"
81;"M";"Linfoma de Hodgkin";"411.23888143175";"279.675537070285";"606.515291930529";"4.563934447941";"3.10384274326772";"6.73111458821076";"3.32352977582136";"2.24251085658573";"4.94082324908261";"3.97369719421038";"2.69509440365853";"5.87776381014323";"4.6367892979876";"3.15290071920451";"6.83721544795593";"LDA"
82;"M";"Linfomas no hodgkinianos";"2443";"2110";"2819";"27.112445733491";"23.4168074079681";"31.2852986175649";"13.1006833334534";"11.300477251651";"15.137112785337";"18.7335351746074";"16.1845531030508";"21.6160939254737";"26.7958682019273";"23.1633676907002";"30.9000069212478";"A"
