;;;0 años;1 año;2 años;3 años;4 años;5 años;6 años;7 años;8 años;9 años;10 años;11 años;12 años;13 años;14 años;15 años;16 años;17 años;18 años;19 años;20 años;21 años;22 años;23 años;24 años;25 años;26 años;27 años;28 años;29 años;30 años;31 años;32 años;33 años;34 años;35 años;36 años;37 años;38 años;39 años;40 años;41 años;42 años;43 años;44 años;45 años;46 años;47 años;48 años;49 años;50 años;51 años;52 años;53 años;54 años;55 años;56 años;57 años;58 años;59 años;60 años;61 años;62 años;63 años;64 años;65 años;66 años;67 años;68 años;69 años;70 años;71 años;72 años;73 años;74 años;75 años;76 años;77 años;78 años;79 años;80 años;81 años;82 años;83 años;84 años;85 años;86 años;87 años;88 años;89 años;90 años;91 años;92 años;93 años;94 años;95 años;96 años;97 años;98 años;99 años;100 y más años
2;2012;M;1920;2045;2066;2148;2190;2165;2091;2072;2103;2055;2021;2063;2114;2149;2122;2136;2231;2254;2217;2277;2398;2515;2563;2515;2551;2627;2626;2688;2825;2950;3039;3087;3181;3400;3451;3382;3388;3388;3383;3307;3269;3239;3258;3309;3299;3253;3222;3308;3288;3102;3006;3039;3014;2831;2647;2378;2133;2062;2036;2027;1919;1827;1868;1916;1822;1631;1601;1611;1626;1571;1377;1632;1451;1132;1415;1499;1497;1416;1338;1324;1292;1239;1140;1011;890;802;664;537;480;388;300;222;139;97;83;59;33;30;24;12;22
2;2011;M;2034;2077;2151;2185;2169;2100;2071;2095;2053;2015;2049;2102;2144;2118;2131;2224;2248;2208;2268;2399;2529;2589;2532;2559;2631;2649;2727;2871;3014;3097;3127;3235;3464;3495;3415;3432;3416;3397;3328;3287;3261;3273;3327;3329;3281;3237;3317;3306;3125;3027;3056;3027;2844;2664;2392;2143;2079;2048;2034;1928;1841;1888;1934;1840;1653;1622;1632;1649;1596;1404;1668;1492;1164;1448;1542;1544;1464;1390;1385;1365;1319;1222;1103;983;874;737;625;565;463;365;267;167;122;108;85;48;39;32;19;13;19
3;2012;M;8638;9177;9461;10066;10373;10136;10019;9943;9854;9506;9365;9429;9129;8909;8975;8962;8890;8874;9088;9471;9713;9857;9988;10207;10443;10694;11022;11362;11843;12634;13559;14373;15073;15806;16455;16667;16605;16437;16236;16007;15819;15648;15496;15197;14875;14691;14436;14529;14394;13689;13203;13001;12701;12430;12188;11358;10794;10504;10269;10450;10256;9847;9855;10517;10753;10263;10009;9963;9778;9031;8257;8883;8156;7078;7444;7052;6700;6385;5999;5519;5011;4660;4133;3552;3033;2674;2369;1962;1590;1258;1010;728;498;342;242;196;143;99;66;47;90
3;2011;M;8962;9425;10022;10336;10099;10012;9936;9819;9462;9329;9403;9101;8881;8937;8924;8875;8840;9043;9454;9685;9798;9902;10113;10370;10640;11012;11395;11894;12681;13615;14507;15212;15893;16509;16745;16743;16570;16301;15988;15808;15688;15516;15216;14906;14715;14471;14543;14404;13717;13220;12998;12715;12459;12194;11341;10778;10504;10268;10444;10255;9867;9871;10504;10733;10244;10019;10016;9841;9125;8406;9077;8361;7289;7663;7274;6950;6649;6261;5796;5303;4981;4448;3840;3330;2964;2647;2218;1832;1486;1210;901;622;435;315;250;186;127;86;61;43;76
